Stall Name,Cuisine,Shop Type,Address
Ah Poh BBQ Seafood,"['Chinese', 'Seafood']",Kiosk or Stall,#02-119/120 Bukit Timah Market and Food Centre Upper Bukit Timah Road 588172
West Co'z Cafe (Junction 10),"['Asian', 'Chinese', 'Halal', 'Local', 'Thai']",Cafe,#01-34/35 Junction 10 Woodlands Road 677899
Aspire Cafe,['Fusion'],Cafe,#02-01  Joo Chiat Road 427729
Dario Pizza & More,"['European', 'Italian', 'Pizza', 'Western']",Restaurant, Jk Village Clementi Road 129741
Sevenlicious Grill House (Senoko),"['Steak and Grills', 'Western']",Cafe,  Senoko South Road 758075
Ah Seah Teochew Porridge (Kovan Centre),"['Asian', 'Chinese', 'Teochew']",Kiosk or Stall," Ah Seah Eating House, Kovan Centre Yio Chu Kang Road 545523"
75 Ah Balling Peanut Soup (Golden Mile Food Centre),['Chinese'],Kiosk or Stall,#01-75 Golden Mile Food Centre Beach Road 199583
Aburi-EN (JEM),"['Barbecue', 'Japanese']",Restaurant,#01-04 JEM Jurong Gateway Road 608549
Yo Ban Mian,['Singaporean'],Kiosk or Stall,  Senoko South Road 758075
KOKO Ice Cream (Joo Chiat Road),"['Desserts', 'Thai']",Kiosk or Stall,#01-03  Joo Chiat Road 427483
TANI Bistro & Bar,"['Asian', 'Beer', 'Drinks', 'Indian']",Restaurant,#01-19 Zhongshan Mall Ah Hood Road 329982
Old Chang Kee (SPC East Coast),"['Asian', 'Halal', 'Local', 'Singaporean', 'Snacks']",Kiosk or Stall, SPC East Coast Upper East Coast Road 455253
Noodle Thai Thai Kitchen (Zhongshan Mall),"['Asian', 'Indochinese', 'Thai']",Cafe,#01-08A Zhongshan Mall Ah Hood Road 329984
Hong Hu Express,"['Asian', 'Chinese', 'Japanese']",Cafe,#05-64 & 98 Far East Plaza Scotts Road 228213
Ah Bong's Italian (Marrison Hotel),"['European', 'Italian', 'Western']",Cafe,#01-02 Marrison Hotel Beach Road 189704
Mei Yuan Restaurant,"['Asian', 'Singaporean']",Restaurant,  East Coast Road 428898
Stackz,"['European', 'Western']",Restaurant,#01-15 Zhongshan Mall Ah Hood Road 329984
